"","time","AvgTempNO1","Price_NOK","Energy","demand"
"148",2025-01-07 05:00:00,0.26,286.16,4083140,5363.55
"149",2025-01-07 06:00:00,0.4,335.9168,4083140,5467.06
"150",2025-01-07 07:00:00,0.64,379.9504,4083140,5858.3
"151",2025-01-07 08:00:00,0.34,407.7488,4083140,6269.98
"152",2025-01-07 09:00:00,0.3,415.5744,4083140,6430.31
"153",2025-01-07 10:00:00,0.2,407.9824,4083140,6420.53
"154",2025-01-07 11:00:00,0.74,407.8656,4083140,6386.1
"155",2025-01-07 12:00:00,0.98,409.1504,4083140,6391.45
"156",2025-01-07 13:00:00,0.8,410.0848,4083140,6415.94
"157",2025-01-07 14:00:00,0.86,408.8,4083140,6421.68
"158",2025-01-07 15:00:00,0.92,407.5152,4083140,6439.26
"159",2025-01-07 16:00:00,0.56,408.9168,4083140,6555.57
"160",2025-01-07 17:00:00,0.46,417.7936,4083140,6708.32
"161",2025-01-07 18:00:00,0.14,422.5824,4083140,6655.27
"162",2025-01-07 19:00:00,-0.04,417.4432,4083140,6578.85
"163",2025-01-07 20:00:00,-0.1,407.3984,4083140,6491.21
"164",2025-01-07 21:00:00,-0.28,404.0112,4083140,6372.87
"165",2025-01-07 22:00:00,-0.62,403.4272,4083140,6227.04
"166",2025-01-07 23:00:00,-1.12,398.7552,4083140,6022.72
"167",2025-01-08,-1.38,397.8208,4083140,5720.59
"168",2025-01-08 01:00:00,-1.6,381.5856,4083140,5426.2
"169",2025-01-08 02:00:00,-2.06,376.4464,4083140,5321.87
"170",2025-01-08 03:00:00,-2.68,375.7456,4083140,5241.34
"171",2025-01-08 04:00:00,-3.08,374.8112,4083140,5205.37
"172",2025-01-08 05:00:00,-3.16,374.344,4083140,5217
"173",2025-01-08 06:00:00,-3.46,380.5344,4083140,5328.42
"174",2025-01-08 07:00:00,-3.56,411.9536,4083140,5740.35
"175",2025-01-08 08:00:00,-3.68,540.2,4083140,6304.09
"176",2025-01-08 09:00:00,-3.6,641.1152,4083140,6420.21
"177",2025-01-08 10:00:00,-3.66,744.1328,4083140,6464.57
"178",2025-01-08 11:00:00,-3.32,791.7872,4083140,6439.36
"179",2025-01-08 12:00:00,-3.14,745.4176,4083140,6427.48
"180",2025-01-08 13:00:00,-2.48,715.1664,4083140,6359.98
"181",2025-01-08 14:00:00,-2.44,763.872,4083140,6320.07
"182",2025-01-08 15:00:00,-2.56,825.0752,4083140,6304.82
"183",2025-01-08 16:00:00,-3,1062.5296,4083140,6326.04
"184",2025-01-08 17:00:00,-3.1,1333.9728,4083140,6329.25
"185",2025-01-08 18:00:00,-3.56,1674.2112,4083140,6338.21
"186",2025-01-08 19:00:00,-3.98,1648.632,4083140,6257.45
"187",2025-01-08 20:00:00,-4.28,1577.1504,4083140,6149.92
"188",2025-01-08 21:00:00,-4.04,1231.656,4083140,6111.51
"189",2025-01-08 22:00:00,-4.36,1000.7424,4083140,6089.26
"190",2025-01-08 23:00:00,-4.34,758.8496,4083140,5967.45
"191",2025-01-09,-3.96,561.808,4083140,5740.95
"192",2025-01-09 01:00:00,-3.76,464.28,4083140,5567.59
"193",2025-01-09 02:00:00,-3.68,449.3296,4083140,5456.52
"194",2025-01-09 03:00:00,-3.56,451.8992,4083140,5368.42
"195",2025-01-09 04:00:00,-3.44,457.0384,4083140,5255.84
"196",2025-01-09 05:00:00,-3.5,471.1712,4083140,5224.27
"197",2025-01-09 06:00:00,-3.34,498.5024,4083140,5392.11
"198",2025-01-09 07:00:00,-3.4,670.432,4083140,5840.97
"199",2025-01-09 08:00:00,-3.1,1419.2368,4083140,6144.14
"200",2025-01-09 09:00:00,-3,1788.3248,4083140,6192.82
"201",2025-01-09 10:00:00,-2.72,1679.2336,4083140,6155.51
"202",2025-01-09 11:00:00,-2.58,1627.1408,4083140,6091.91
"203",2025-01-09 12:00:00,-2.2,1467.7088,4083140,6107.81
"204",2025-01-09 13:00:00,-1.74,1356.048,4083140,6133.1
"205",2025-01-09 14:00:00,-1.62,1282.3472,4083140,6113.52
"206",2025-01-09 15:00:00,-1.68,1311.5472,4083140,6100.59
"207",2025-01-09 16:00:00,-1.54,1368.1952,4083140,6182.66
"208",2025-01-09 17:00:00,-1.54,1383.9632,4083140,6292.05
"209",2025-01-09 18:00:00,-1.6,1450.072,4083140,6289.91
"210",2025-01-09 19:00:00,-1.6,1509.1728,4083140,6174
"211",2025-01-09 20:00:00,-1.6,1330.2352,4083140,6112.68
"212",2025-01-09 21:00:00,-1.54,1342.032,4083140,5996.53
"213",2025-01-09 22:00:00,-1.66,1186.104,4083140,5895.46
"214",2025-01-09 23:00:00,-1.68,1020.3648,4083140,5818.18
"215",2025-01-10,-1.9,716.1008,4083140,5717.96
"216",2025-01-10 01:00:00,-2.14,708.5088,4083140,5522.95
"217",2025-01-10 02:00:00,-2.74,584.8176,4083140,5382.25
"218",2025-01-10 03:00:00,-3.28,550.8288,4083140,5331.16
"219",2025-01-10 04:00:00,-3.62,512.752,4083140,5329.37
"220",2025-01-10 05:00:00,-3.76,530.6224,4083140,5307.56
"221",2025-01-10 06:00:00,-4.72,626.2816,4083140,5441.53
"222",2025-01-10 07:00:00,-5.14,1093.9488,4083140,5843.88
"223",2025-01-10 08:00:00,-5.48,1397.0448,4083140,6228.41
"224",2025-01-10 09:00:00,-5.18,1573.7632,4083140,6402.02
"225",2025-01-10 10:00:00,-5.4,1545.4976,4083140,6405.19
"226",2025-01-10 11:00:00,-4.62,1394.2416,4083140,6538.68
"227",2025-01-10 12:00:00,-3.94,1280.3616,4083140,6397.55
"228",2025-01-10 13:00:00,-3.26,1205.7264,4083140,6259.54
"229",2025-01-10 14:00:00,-3.16,1185.0528,4083140,6195.55
"230",2025-01-10 15:00:00,-3.16,1240.5328,4083140,6092.69
"231",2025-01-10 16:00:00,-4.16,1453.4592,4083140,6132.55
"232",2025-01-10 17:00:00,-4.12,1526.576,4083140,6269.19
"233",2025-01-10 18:00:00,-4.4,1590.816,4083140,6329.36
"234",2025-01-10 19:00:00,-4.74,1596.1888,4083140,6287.34
"235",2025-01-10 20:00:00,-5.08,1081.9184,4083140,6337.82
"236",2025-01-10 21:00:00,-4.66,671.016,4083140,6313
"237",2025-01-10 22:00:00,-5.06,488.224,4083140,6231.64
"238",2025-01-10 23:00:00,-5.14,456.5712,4083140,6090.24
"239",2025-01-11,-5.48,453.3008,4083140,5900.57
"240",2025-01-11 01:00:00,-4.74,409.2672,4083140,5771.07
"241",2025-01-11 02:00:00,-4.38,405.4128,4083140,5664.59
"242",2025-01-11 03:00:00,-4.5,404.8288,4083140,5570.06
"243",2025-01-11 04:00:00,-4.58,401.3248,4083140,5533.81
"244",2025-01-11 05:00:00,-4.2,401.0912,4083140,5497.63
"245",2025-01-11 06:00:00,-4.24,400.9744,4083140,5503.75
"246",2025-01-11 07:00:00,-3.78,395.0176,4083140,5633.04
"247",2025-01-11 08:00:00,-4,405.5296,4083140,5773.15
"248",2025-01-11 09:00:00,-3.7,415.3408,4083140,5976.32
"249",2025-01-11 10:00:00,-3.2,425.152,4083140,6181.47
"250",2025-01-11 11:00:00,-2.32,430.408,4083140,6265.82
"251",2025-01-11 12:00:00,-1.98,430.1744,4083140,6223.7
"252",2025-01-11 13:00:00,-1.76,425.8528,4083140,6152.04
"253",2025-01-11 14:00:00,-1.76,418.728,4083140,6097.69
"254",2025-01-11 15:00:00,-1.94,419.6624,4083140,6098.11
"255",2025-01-11 16:00:00,-3.4,425.9696,4083140,6199.3
"256",2025-01-11 17:00:00,-3.3,450.264,4083140,6365.69
"257",2025-01-11 18:00:00,-3.12,483.3184,4083140,6506.82
"258",2025-01-11 19:00:00,-3.24,454.1184,4083140,6504.84
"259",2025-01-11 20:00:00,-3.6,429.9408,4083140,6417.68
"260",2025-01-11 21:00:00,-4.1,422.9328,4083140,6257.56
"261",2025-01-11 22:00:00,-4.78,422.232,4083140,6146.89
"262",2025-01-11 23:00:00,-5.86,419.896,4083140,6020.73
"263",2025-01-12,-5.94,421.1808,4083140,5912.57
"264",2025-01-12 01:00:00,-6.42,404.0112,4083140,5834.68
"265",2025-01-12 02:00:00,-7.18,401.9088,4083140,5770.29
"266",2025-01-12 03:00:00,-7.48,401.3248,4083140,5709.15
"267",2025-01-12 04:00:00,-8.02,399.456,4083140,5712.15
"268",2025-01-12 05:00:00,-8.4,397.3536,4083140,5708.19
"269",2025-01-12 06:00:00,-9.16,405.88,4083140,5689.72
"270",2025-01-12 07:00:00,-9.28,421.2976,4083140,5775.32
"271",2025-01-12 08:00:00,-10.04,417.3264,4083140,5886.95
"272",2025-01-12 09:00:00,-10.5,422.1152,4083140,6157.96
"273",2025-01-12 10:00:00,-10.22,523.264,4083140,6366.22
"274",2025-01-12 11:00:00,-9.84,746.8192,4083140,6470.87
"275",2025-01-12 12:00:00,-9.04,915.8288,4083140,6545.96
"276",2025-01-12 13:00:00,-8.28,811.9936,4083140,6516.81
"277",2025-01-12 14:00:00,-8.32,760.4848,4083140,6478.13
"278",2025-01-12 15:00:00,-8.54,1037.768,4083140,6410.64
"279",2025-01-12 16:00:00,-9.2,1249.176,4083140,6378.06
"280",2025-01-12 17:00:00,-10.48,1403.4688,4083140,6646.41
"281",2025-01-12 18:00:00,-10.82,1488.9664,4083140,6656.54
"282",2025-01-12 19:00:00,-11.8,1581.9392,4083140,6665.28
"283",2025-01-12 20:00:00,-12.26,1523.7728,4083140,6663.5
"284",2025-01-12 21:00:00,-12.48,1429.632,4083140,6624.73
"285",2025-01-12 22:00:00,-12.38,1200.9376,4083140,6540.58
"286",2025-01-12 23:00:00,-12.26,769.128,4083140,6376.17
"287",2025-01-13,-12.16,442.4384,4083140,6167.01
"288",2025-01-13 01:00:00,-11.98,439.0512,3899513,6092.38
"289",2025-01-13 02:00:00,-11.94,412.888,3899513,6101.18
"290",2025-01-13 03:00:00,-11.42,430.5248,3899513,5956.81
"291",2025-01-13 04:00:00,-9.7,413.1216,3899513,5933.08
"292",2025-01-13 05:00:00,-8.12,402.8432,3899513,5936.37
"293",2025-01-13 06:00:00,-7.08,413.8224,3899513,6109.02
"294",2025-01-13 07:00:00,-6.44,427.2544,3899513,6552.3
"295",2025-01-13 08:00:00,-5.2,748.5712,3899513,7040.52
"296",2025-01-13 09:00:00,-4.46,1194.0464,3899513,7098.88
"297",2025-01-13 10:00:00,-3.56,646.6048,3899513,6942.81
"298",2025-01-13 11:00:00,-1.82,441.7376,3899513,6921.93
"299",2025-01-13 12:00:00,-0.74,429.4736,3899513,6882.38
"300",2025-01-13 13:00:00,0.24,424.8016,3899513,6781.06
"301",2025-01-13 14:00:00,0.9,417.56,3899513,6690.63
"302",2025-01-13 15:00:00,1.02,403.3104,3899513,6589.61
"303",2025-01-13 16:00:00,1.04,394.6672,3899513,6607
"304",2025-01-13 17:00:00,1.92,392.448,3899513,6711.21
"305",2025-01-13 18:00:00,2.28,392.7984,3899513,6628.8
"306",2025-01-13 19:00:00,2.28,377.1472,3899513,6451.64
"307",2025-01-13 20:00:00,2.58,359.5104,3899513,6331.98
"308",2025-01-13 21:00:00,2.9,355.4224,3899513,6207.74
"309",2025-01-13 22:00:00,3.1,351.568,3899513,6050.85
"310",2025-01-13 23:00:00,2.56,347.5968,3899513,5805.94
"311",2025-01-14,2.38,341.9904,3899513,5488.25
"312",2025-01-14 01:00:00,2.58,369.2048,3899513,5243.51
"313",2025-01-14 02:00:00,2.42,366.168,3899513,5024.32
"314",2025-01-14 03:00:00,2.42,365.2336,3899513,4909.91
"315",2025-01-14 04:00:00,2.46,364.6496,3899513,4882.4
"316",2025-01-14 05:00:00,2.54,365,3899513,4903.69
"317",2025-01-14 06:00:00,2.6,369.3216,3899513,5062.56
"318",2025-01-14 07:00:00,2.32,385.5568,3899513,5493.09
"319",2025-01-14 08:00:00,2.06,398.1712,3899513,6047.83
"320",2025-01-14 09:00:00,1.56,405.7632,3899513,6184.23
"321",2025-01-14 10:00:00,1.64,409.8512,3899513,6144.59
"322",2025-01-14 11:00:00,1.96,405.0624,3899513,6128.07
"323",2025-01-14 12:00:00,1.9,404.8288,3899513,6038.4
"324",2025-01-14 13:00:00,2.16,397.704,3899513,6050.65
"325",2025-01-14 14:00:00,2.38,396.0688,3899513,6000.22
"326",2025-01-14 15:00:00,2.02,402.0256,3899513,5881.16
"327",2025-01-14 16:00:00,1.24,404.128,3899513,5977.67
"328",2025-01-14 17:00:00,1.24,416.2752,3899513,6248.88
"329",2025-01-14 18:00:00,0.98,427.9552,3899513,6256.58
"330",2025-01-14 19:00:00,0.16,426.5536,3899513,6181.15
"331",2025-01-14 20:00:00,-1,423.4,3899513,6149.73
"332",2025-01-14 21:00:00,-0.8,423.984,3899513,6089.79
"333",2025-01-14 22:00:00,-1.5,458.2064,3899513,5945.59
"334",2025-01-14 23:00:00,-1.68,467.3168,3899513,5771.2
"335",2025-01-15,-2.56,417.56,3899513,5563.43
"336",2025-01-15 01:00:00,-2.98,424.2176,3899513,5319.39
"337",2025-01-15 02:00:00,-2.8,426.4368,3899513,5171.92
"338",2025-01-15 03:00:00,-3.32,431.2256,3899513,5054.24
"339",2025-01-15 04:00:00,-3.48,428.5392,3899513,4977.55
"340",2025-01-15 05:00:00,-3.84,430.2912,3899513,5010.53
"341",2025-01-15 06:00:00,-4.2,447.2272,3899513,5245.8
"342",2025-01-15 07:00:00,-3.98,1269.8496,3899513,5563.81
"343",2025-01-15 08:00:00,-4,1954.648,3899513,5923.81
"344",2025-01-15 09:00:00,-3.62,3005.4976,3899513,6038.29
"345",2025-01-15 10:00:00,-2.42,1938.88,3899513,6000.24
"346",2025-01-15 11:00:00,-1.26,1757.0224,3899513,5953.99
"347",2025-01-15 12:00:00,0.14,1199.4192,3899513,5972.71
"348",2025-01-15 13:00:00,1.18,1134.712,3899513,5943.24
"349",2025-01-15 14:00:00,1.96,1103.8768,3899513,5863.58
"350",2025-01-15 15:00:00,2.26,625.6976,3899513,5883.59
"351",2025-01-15 16:00:00,2.42,603.0384,3899513,5917.1
"352",2025-01-15 17:00:00,2.42,744.1328,3899513,6068.17
"353",2025-01-15 18:00:00,2.78,688.4192,3899513,6013.49
"354",2025-01-15 19:00:00,2.68,500.0208,3899513,5945.16
"355",2025-01-15 20:00:00,2.64,467.5504,3899513,5871.79
"356",2025-01-15 21:00:00,2.44,441.8544,3899513,5812.19
"357",2025-01-15 22:00:00,2.06,432.16,3899513,5802.01
"358",2025-01-15 23:00:00,2.16,423.5168,3899513,5551.81
"359",2025-01-16,2.02,420.3632,3899513,5233.72
"360",2025-01-16 01:00:00,2.42,386.7248,3899513,5021.43
"361",2025-01-16 02:00:00,2.68,385.2064,3899513,4867.69
"362",2025-01-16 03:00:00,2.5,390.5792,3899513,4688.16
"363",2025-01-16 04:00:00,2.6,389.9952,3899513,4603.8
"364",2025-01-16 05:00:00,2.66,388.7104,3899513,4637.3
"365",2025-01-16 06:00:00,2.54,389.528,3899513,4823.43
"366",2025-01-16 07:00:00,2.82,439.9856,3899513,5345.07
"367",2025-01-16 08:00:00,2.68,537.864,3899513,5749.24
"368",2025-01-16 09:00:00,2.62,822.3888,3899513,5818.57
"369",2025-01-16 10:00:00,2.78,562.392,3899513,5716.7
"370",2025-01-16 11:00:00,3.68,514.6208,3899513,5728.54
"371",2025-01-16 12:00:00,4.3,506.6784,3899513,5700.86
"372",2025-01-16 13:00:00,4.5,506.0944,3899513,5640.01
"373",2025-01-16 14:00:00,4.56,479.464,3899513,5581.77
"374",2025-01-16 15:00:00,4.08,474.792,3899513,5619.97
"375",2025-01-16 16:00:00,4.04,507.7296,3899513,5711.04
"376",2025-01-16 17:00:00,3.5,499.6704,3899513,5839.84
"377",2025-01-16 18:00:00,3.64,560.4064,3899513,5918.26
"378",2025-01-16 19:00:00,3.64,500.1376,3899513,5776.65
"379",2025-01-16 20:00:00,3.3,472.456,3899513,5688.28
"380",2025-01-16 21:00:00,3.22,454.8192,3899513,5644.21
"381",2025-01-16 22:00:00,3.3,444.3072,3899513,5487.44
"382",2025-01-16 23:00:00,3.48,428.656,3899513,5208.12
"383",2025-01-17,3.24,415.4576,3899513,4958
"384",2025-01-17 01:00:00,3.24,389.0608,3899513,4758.43
"385",2025-01-17 02:00:00,3.68,392.6816,3899513,4570.14
"386",2025-01-17 03:00:00,3.88,388.8272,3899513,4490.54
"387",2025-01-17 04:00:00,3.86,387.8928,3899513,4452.36
"388",2025-01-17 05:00:00,3.78,380.5344,3899513,4449.67
"389",2025-01-17 06:00:00,3.54,383.4544,3899513,4582.37
"390",2025-01-17 07:00:00,3.28,419.896,3899513,4995.31
"391",2025-01-17 08:00:00,2.98,493.9472,3899513,5530.46
"392",2025-01-17 09:00:00,3.22,562.1584,3899513,5639.53
"393",2025-01-17 10:00:00,3.4,508.3136,3899513,5620.74
"394",2025-01-17 11:00:00,3.74,477.0112,3899513,5551.41
"395",2025-01-17 12:00:00,3.96,453.6512,3899513,5539.09
"396",2025-01-17 13:00:00,4.18,450.1472,3899513,5502.26
"397",2025-01-17 14:00:00,4.24,445.2416,3899513,5444.32
"398",2025-01-17 15:00:00,4.3,443.3728,3899513,5431.62
"399",2025-01-17 16:00:00,3.36,442.672,3899513,5450.14
"400",2025-01-17 17:00:00,3.58,445.1248,3899513,5617.75
"401",2025-01-17 18:00:00,3.24,444.7744,3899513,5737.01
"402",2025-01-17 19:00:00,2.76,439.5184,3899513,5645.26
"403",2025-01-17 20:00:00,2.94,421.648,3899513,5625.36
